line,source,inputRms,inputPeak,outputRms,outputPeak,raw
948497,QuestHandDataSender,,,,,"QuestHandDataSender audio: sent audio frame count=13773, sequence=13772, sampleRate=16000, channels=1, sampleCount=800, bytes=1600"
948511,HL2SSMicrophoneClient,,,,,"test_microphone: packets=37203, regionSamples=2048, queuedSampleValues=1895936, sourcePlaying=True"
948518,HL2SSMicrophoneClient,,,,,"test_microphone:Update () (at Assets/hl2ss_Scripts/test/test_microphone.cs:107)"
948522,QuestHandDataSender,,,,,"QuestHandDataSender audio: sent audio frame count=13801, sequence=13800, sampleRate=16000, channels=1, sampleCount=800, bytes=1600"
948536,HL2SSMicrophoneClient,,,,,"test_microphone: packets=37298, regionSamples=2048, queuedSampleValues=1898496, sourcePlaying=True"
948543,HL2SSMicrophoneClient,,,,,"test_microphone:Update () (at Assets/hl2ss_Scripts/test/test_microphone.cs:107)"
948547,QuestHandDataSender,,,,,"QuestHandDataSender audio: sent audio frame count=13828, sequence=13827, sampleRate=16000, channels=1, sampleCount=800, bytes=1600"
948561,HL2SSMicrophoneClient,,,,,"test_microphone: packets=37392, regionSamples=2048, queuedSampleValues=1899008, sourcePlaying=True"
948568,HL2SSMicrophoneClient,,,,,"test_microphone:Update () (at Assets/hl2ss_Scripts/test/test_microphone.cs:107)"
948572,QuestHandDataSender,,,,,"QuestHandDataSender audio: sent audio frame count=13856, sequence=13855, sampleRate=16000, channels=1, sampleCount=800, bytes=1600"
948586,HL2SSMicrophoneClient,,,,,"test_microphone: packets=37487, regionSamples=2048, queuedSampleValues=1901568, sourcePlaying=True"
948593,HL2SSMicrophoneClient,,,,,"test_microphone:Update () (at Assets/hl2ss_Scripts/test/test_microphone.cs:107)"
948597,QuestHandDataSender,,,,,"QuestHandDataSender audio: sent audio frame count=13884, sequence=13883, sampleRate=16000, channels=1, sampleCount=800, bytes=1600"
948611,HL2SSMicrophoneClient,,,,,"test_microphone: packets=37581, regionSamples=2048, queuedSampleValues=1902080, sourcePlaying=True"
948618,HL2SSMicrophoneClient,,,,,"test_microphone:Update () (at Assets/hl2ss_Scripts/test/test_microphone.cs:107)"
948622,QuestHandDataSender,,,,,"QuestHandDataSender audio: sent audio frame count=13912, sequence=13911, sampleRate=16000, channels=1, sampleCount=800, bytes=1600"
948636,HL2SSMicrophoneClient,,,,,"test_microphone: packets=37676, regionSamples=2048, queuedSampleValues=1904640, sourcePlaying=True"
948643,HL2SSMicrophoneClient,,,,,"test_microphone:Update () (at Assets/hl2ss_Scripts/test/test_microphone.cs:107)"
948647,QuestHandDataSender,,,,,"QuestHandDataSender audio: sent audio frame count=13940, sequence=13939, sampleRate=16000, channels=1, sampleCount=800, bytes=1600"
948661,HL2SSMicrophoneClient,,,,,"test_microphone: packets=37771, regionSamples=2048, queuedSampleValues=1907200, sourcePlaying=True"
948668,HL2SSMicrophoneClient,,,,,"test_microphone:Update () (at Assets/hl2ss_Scripts/test/test_microphone.cs:107)"
948672,QuestHandDataSender,,,,,"QuestHandDataSender audio: sent audio frame count=13967, sequence=13966, sampleRate=16000, channels=1, sampleCount=800, bytes=1600"
948686,HL2SSMicrophoneClient,,,,,"test_microphone: packets=37865, regionSamples=2048, queuedSampleValues=1907712, sourcePlaying=True"
948693,HL2SSMicrophoneClient,,,,,"test_microphone:Update () (at Assets/hl2ss_Scripts/test/test_microphone.cs:107)"
948697,QuestHandDataSender,,,,,"QuestHandDataSender audio: sent audio frame count=13995, sequence=13994, sampleRate=16000, channels=1, sampleCount=800, bytes=1600"
948711,HL2SSMicrophoneClient,,,,,"test_microphone: packets=37960, regionSamples=2048, queuedSampleValues=1910272, sourcePlaying=True"
948718,HL2SSMicrophoneClient,,,,,"test_microphone:Update () (at Assets/hl2ss_Scripts/test/test_microphone.cs:107)"
948722,QuestHandDataSender,,,,,"QuestHandDataSender audio: sent audio frame count=14023, sequence=14022, sampleRate=16000, channels=1, sampleCount=800, bytes=1600"
948736,HL2SSMicrophoneClient,,,,,"test_microphone: packets=38054, regionSamples=2048, queuedSampleValues=1910784, sourcePlaying=True"
948743,HL2SSMicrophoneClient,,,,,"test_microphone:Update () (at Assets/hl2ss_Scripts/test/test_microphone.cs:107)"
948747,QuestHandDataSender,,,,,"QuestHandDataSender audio: sent audio frame count=14050, sequence=14049, sampleRate=16000, channels=1, sampleCount=800, bytes=1600"
948761,HL2SSMicrophoneClient,,,,,"test_microphone: packets=38148, regionSamples=2048, queuedSampleValues=1911296, sourcePlaying=True"
